"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"401","TM7aceae","TM7","TM7 401H12",NA,NA,NA,NA,NA,NA,NA,NA
"402","Treponemataceae","Tannerella","forsythia","Tannerella forsythia",NA,NA,NA,NA,NA,NA,NA
"403","Lachnospiraceae","Uncultured Lachnospiraceae","JM048","JM048",NA,NA,NA,NA,NA,NA,NA
"404","Clostridiaceae","Clostridium","unclassified Clostridiales MCE10 174","unclassified Clostridiales MCE10 174",NA,NA,NA,NA,NA,NA,NA
"405","Actinomycetaceae","Actinomyces","sp.","Actinomyces sp.",NA,NA,NA,NA,NA,NA,NA
"406","Actinomycetaceae","Actinomyces","cardiffensis",NA,NA,NA,NA,NA,NA,NA,NA
"407","Actinomycetaceae","Actinomyces","dentalis","Actinomyces dentalis",NA,NA,NA,NA,NA,NA,NA
"408","Chloroflexaceae","Chloroflexus","sp.",NA,NA,NA,NA,NA,NA,NA,NA
"409","Desulfobulbaceae","Desulfobulbus","sp.","Desulfobulbus sp.",NA,NA,NA,NA,NA,NA,NA
"410","Eubacteriaceae","Eubacterium","minutum",NA,NA,NA,NA,NA,NA,NA,NA
"411","Eubacteriaceae","Eubacterium","saphenum",NA,NA,NA,NA,NA,NA,NA,NA
"412","Acidaminococcaceae","Filifactor","alocis",NA,NA,NA,NA,NA,NA,NA,NA
"413","Acidaminococcaceae","Filifactor","sp.","Filifactor sp.",NA,NA,NA,NA,NA,NA,NA
"414","Fusobacteriaceae","Fusobacterium","sp.","Fusobacterium sp.",NA,NA,NA,NA,NA,NA,NA
"415","Peptostreptococcaceae","Peptostreptococcus","sp.","Peptostreptococcus sp.",NA,NA,NA,NA,NA,NA,NA
"416","Treponemataceae","Selenomonas","sp.","Selenomonas sp.",NA,NA,NA,NA,NA,NA,NA
"417","Treponemataceae","Selenomonas","sputigena","Selenomonas sputigena",NA,NA,NA,NA,NA,NA,NA
"418","Streptococcaceae","Streptococcus","intermedius constellatus",NA,NA,NA,NA,NA,NA,NA,NA
"419","Streptococcaceae","Streptococcus","Streptococcus sp.","Streptococcus sp.",NA,NA,NA,NA,NA,NA,NA
"420","Synergistaceae","Synergistes","Synergistes oral taxon 362",NA,NA,NA,NA,NA,NA,NA,NA
"421","Synergistaceae","Synergistes","Synergistes oral taxon 363",NA,NA,NA,NA,NA,NA,NA,NA
"422","Synergistaceae","Synergistes","sp.","Synergistes sp.",NA,NA,NA,NA,NA,NA,NA
"423","TM7aceae","TM7","401H12",NA,NA,NA,NA,NA,NA,NA,NA
"424","Treponemataceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"425","Lachnospiraceae","Uncultured Lachnospiraceae","JM048",NA,NA,NA,NA,NA,NA,NA,NA
"426","Clostridiaceae","Clostridium","unclassified Clostridiales MCE10 174",NA,NA,NA,NA,NA,NA,NA,NA
"427","Veillonellaceae","Veillonellaceae","oral taxon 135 145 148 155","oral taxon 135 145 148 155",NA,NA,NA,NA,NA,NA,NA
"428","Actinobaculumaceae","Actinobaculum","Actinobaculum sp. HOT183/AA85","Actinobaculum sp. HOT183/AA85",NA,NA,NA,NA,NA,NA,NA
"429","Actinobaculumaceae","Aggregatibacter","Aggregatibacter actinomycetemcomitans HOT531/P02","Aggregatibacter actinomycetemcomitans HOT531/P02",NA,NA,NA,NA,NA,NA,NA
"430","Prevotellaceae","Alloprevotella","Alloprevotella tannerae HOT466/AB03","Alloprevotella tannerae HOT466/AB03",NA,NA,NA,NA,NA,NA,NA
"431","Peptostreptococcaceae","Anaeroglobus","Anaeroglobus geminatus HOT121/AA56","Anaeroglobus geminatus HOT121/AA56",NA,NA,NA,NA,NA,NA,NA
"432","Peptostreptococcaceae","Anaeroglobus","Anaeroglobus geminatus HOT121/AG13","Anaeroglobus geminatus HOT121/AG13",NA,NA,NA,NA,NA,NA,NA
"433","Bacteroidaceae","Bacteroidaceae G1 sp.","Bacteroidaceae G1 sp. HOT272/X17","Bacteroidaceae G1 sp. HOT272/X17",NA,NA,NA,NA,NA,NA,NA
"434","Bacteroidaceae","Bacteroidales G2 sp.","Bacteroidales G2 sp. HOT274/AG14","Bacteroidales G2 sp. HOT274/AG14",NA,NA,NA,NA,NA,NA,NA
"435","Bacteroidaceae","Bacteroidales G2 sp.","Bacteroidales G2 sp. HOT274/AG15","Bacteroidales G2 sp. HOT274/AG15",NA,NA,NA,NA,NA,NA,NA
"436","Bacteroidaceae","Bacteroidales G2 sp.","Bacteroidales G2 sp. HOT274/X57","Bacteroidales G2 sp. HOT274/X57",NA,NA,NA,NA,NA,NA,NA
"437","Campylobacteraceae","Campylobacter","Campylobacter concisus HOT575","Campylobacter concisus HOT575",NA,NA,NA,NA,NA,NA,NA
"438","Campylobacteraceae","Campylobacter","Campylobacter rectus HOT748/T8","Campylobacter rectus HOT748/T8",NA,NA,NA,NA,NA,NA,NA
"439","Campylobacteraceae","Campylobacter","Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3","Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3",NA,NA,NA,NA,NA,NA,NA
"440","Campylobacteraceae","Campylobacter","Campylobacter curvus HOT580/Campylobacter rectus HOT748A","Campylobacter curvus HOT580/Campylobacter rectus HOT748A",NA,NA,NA,NA,NA,NA,NA
"441","Campylobacteraceae","Campylobacter","Campylobacter curvus HOT580/Campylobacter rectus HOT748CA","Campylobacter curvus HOT580/Campylobacter rectus HOT748CA",NA,NA,NA,NA,NA,NA,NA
"442","Campylobacteraceae","Campylobacter","Campylobacter gracilis HOT623/Q04","Campylobacter gracilis HOT623/Q04",NA,NA,NA,NA,NA,NA,NA
"443","Catonellaceae","Catonella","Catonella morbi HOT165/Catonella sp. HOT164/056","Catonella morbi HOT165/Catonella sp. HOT164/056",NA,NA,NA,NA,NA,NA,NA
"444","Desulfobulbaceae","Desulfobulbus","Desulfobulbus sp. HOT041/K70","Desulfobulbus sp. HOT041/K70",NA,NA,NA,NA,NA,NA,NA
"445","Peptostreptococcaceae","Dialister","Dialister invisus HOT118/AG32","Dialister invisus HOT118/AG32",NA,NA,NA,NA,NA,NA,NA
"446","Peptostreptococcaceae","Dialister","Dialister invisus HOT118/AG33","Dialister invisus HOT118/AG33",NA,NA,NA,NA,NA,NA,NA
"447","Peptostreptococcaceae","Dialister","Dialister pneumosintes HOT736/AG34","Dialister pneumosintes HOT736/AG34",NA,NA,NA,NA,NA,NA,NA
"448","Peptostreptococcaceae","Dialister","Dialister pneumosintes HOT736/X78","Dialister pneumosintes HOT736/X78",NA,NA,NA,NA,NA,NA,NA
"449","Elusimicrobiaceae","Elusimicrobium","Elusimicrobium 11 G6 minutum HOT673/AG4 4","Elusimicrobium 11 G6 minutum HOT673/AG4 4",NA,NA,NA,NA,NA,NA,NA
"450","Elusimicrobiaceae","Elusimicrobium","Elusimicrobium 11 G6 minutum HOT673/AG4 5","Elusimicrobium 11 G6 minutum HOT673/AG4 5",NA,NA,NA,NA,NA,NA,NA
"451","Eubacteriaceae","Eubacterium","Eubacterium 11 G3 brachy HOT557/047","Eubacterium 11 G3 brachy HOT557/047",NA,NA,NA,NA,NA,NA,NA
"452","Eubacteriaceae","Eubacterium","Eubacterium 11 G3 brachy HOT557/ACO3","Eubacterium 11 G3 brachy HOT557/ACO3",NA,NA,NA,NA,NA,NA,NA
"453","Eubacteriaceae","Eubacterium","Eubacterium 11 G5 saphenum HOT759/AA71","Eubacterium 11 G5 saphenum HOT759/AA71",NA,NA,NA,NA,NA,NA,NA
"454","Eubacteriaceae","Eubacterium","Eubacterium 11 G6 nodatum HOT694/Y46","Eubacterium 11 G6 nodatum HOT694/Y46",NA,NA,NA,NA,NA,NA,NA
"455","Peptostreptococcaceae","Filifactor","Filifactor alocis HOT539/AA69","Filifactor alocis HOT539/AA69",NA,NA,NA,NA,NA,NA,NA
"456","Eubacteriaceae","Fretibacterium","Fretibacterium Cluster/D70","Fretibacterium Cluster/D70",NA,NA,NA,NA,NA,NA,NA
"457","Eubacteriaceae","Fretibacterium","Fretibacterium sp. HOT359/Fretibacterium sp. HOT362/AC53","Fretibacterium sp. HOT359/Fretibacterium sp. HOT362/AC53",NA,NA,NA,NA,NA,NA,NA
"458","Eubacteriaceae","Fretibacterium","Fretibacterium sp. HOT360/AG48","Fretibacterium sp. HOT360/AG48",NA,NA,NA,NA,NA,NA,NA
"459","Fusobacteriaceae","Fusobacterium","Fusobacterium Cluster/AE01","Fusobacterium Cluster/AE01",NA,NA,NA,NA,NA,NA,NA
"460","Lachnospiraceae","Lachnospiraceae G5 sp.","Lachnospiraceae G5 sp. HOT080/AA65","Lachnospiraceae G5 sp. HOT080/AA65",NA,NA,NA,NA,NA,NA,NA
"461","Leptotrichiaceae","Leptotrichia","Leptotrichiaceae G1 spp. HOT210/220/492","Leptotrichiaceae G1 spp. HOT210/220/492",NA,NA,NA,NA,NA,NA,NA
"462","Leptotrichiaceae","Leptotrichia","Leptotrichiaceae G1 spp. HOT210/220/AD17","Leptotrichiaceae G1 spp. HOT210/220/AD17",NA,NA,NA,NA,NA,NA,NA
"463","Peptostreptococcaceae","Parvimonas","Parvimonas micra HOT111/AG78","Parvimonas micra HOT111/AG78",NA,NA,NA,NA,NA,NA,NA
"464","Peptostreptococcaceae","Parvimonas","Parvimonas micra HOT111/V05","Parvimonas micra HOT111/V05",NA,NA,NA,NA,NA,NA,NA
"465","Pasteurellaceae","Pasteurella","Pasteurella stomatis HOT112/AG87","Pasteurella stomatis HOT112/AG87",NA,NA,NA,NA,NA,NA,NA
"466","Peptostreptococcaceae","Peptostreptococcaceae","Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49","Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49",NA,NA,NA,NA,NA,NA,NA
"467","Selenomonadaceae","Selenomonas","sp. HMT-481",NA,NA,NA,NA,NA,NA,NA,NA
"468","Selenomonadaceae","Selenomonas","sp. HMT-479",NA,NA,NA,NA,NA,NA,NA,NA
"469","Selenomonadaceae","Selenomonas","sp. HMT-442",NA,NA,NA,NA,NA,NA,NA,NA
"470","Selenomonadaceae","Selenomonas","sp. HMT-146",NA,NA,NA,NA,NA,NA,NA,NA
"471","Selenomonadaceae","Selenomonas","sp. HMT-892",NA,NA,NA,NA,NA,NA,NA,NA
"472","Selenomonadaceae","Selenomonas","sp. HMT-126",NA,NA,NA,NA,NA,NA,NA,NA
"473","Porphyromonadaceae","Porphyromonas","Porphyromonas spp. HOT285",NA,NA,NA,NA,NA,NA,NA,NA
"474","Porphyromonadaceae","Porphyromonas","Porphyromonas endodontalis HOT273/Porphyromonas spp. HOT285","Porphyromonas endodontalis HOT273/Porphyromonas spp. HOT285",NA,NA,NA,NA,NA,NA,NA
"475","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis HOT619/AA93","Porphyromonas gingivalis HOT619/AA93",NA,NA,NA,NA,NA,NA,NA
"476","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis HOT619/X21","Porphyromonas gingivalis HOT619/X21",NA,NA,NA,NA,NA,NA,NA
"477","Porphyromonadaceae","Porphyromonas","Porphyromonas sp. HOT279/Q93","Porphyromonas sp. HOT279/Q93",NA,NA,NA,NA,NA,NA,NA
"478","Prevotellaceae","Prevotella","Prevotella Cluster II/AA44","Prevotella Cluster II/AA44",NA,NA,NA,NA,NA,NA,NA
"479","Prevotellaceae","Prevotella","Prevotella intermedia HOT643/AB92","Prevotella intermedia HOT643/AB92",NA,NA,NA,NA,NA,NA,NA
"480","Prevotellaceae","Prevotella","Prevotella intermedia HOT643/AD06","Prevotella intermedia HOT643/AD06",NA,NA,NA,NA,NA,NA,NA
"481","Prevotellaceae","Prevotella","Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65","Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65",NA,NA,NA,NA,NA,NA,NA
"482","Prevotellaceae","Prevotella","sp. HMT-317",NA,NA,NA,NA,NA,NA,NA,NA
"483","Prevotellaceae","Prevotella","sp. HMT-472",NA,NA,NA,NA,NA,NA,NA,NA
"484","Bifidobacteriaceae","Pseudoramibacter","Pseudoramibacter alactolyticus HOT538/AB70","Pseudoramibacter alactolyticus HOT538/AB70",NA,NA,NA,NA,NA,NA,NA
"485","Selenomonadaceae","Selenomonas","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A",NA,NA,NA,NA,NA,NA,NA
"486","Selenomonadaceae","Selenomonas","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O",NA,NA,NA,NA,NA,NA,NA
"487","Selenomonadaceae","Selenomonas","Selenomonas spp. HOT134/442/Y73","Selenomonas spp. HOT134/442/Y73",NA,NA,NA,NA,NA,NA,NA
"488","Selenomonadaceae","Selenomonas","Selenomonas spp. HOT138/146/892/Q52","Selenomonas spp. HOT138/146/892/Q52",NA,NA,NA,NA,NA,NA,NA
"489","Solobacteriaceae","Solobacterium","Solobacterium moorei HOT678/AC01","Solobacterium moorei HOT678/AC01",NA,NA,NA,NA,NA,NA,NA
"490","TM7-1","TM7 G1 spp.","TM7 G1 spp. HOT346/347/AH43","TM7 G1 spp. HOT346/347/AH43",NA,NA,NA,NA,NA,NA,NA
"491","TM7-1","TM7 [G-1]","bacterium HMT-347",NA,NA,NA,NA,NA,NA,NA,NA
"492","TM7-1","TM7 [G-1]","bacterium HMT-349",NA,NA,NA,NA,NA,NA,NA,NA
"493","TM7-1","TM7 G1 spp.","TM7 G1 spp. HOT346/349/W85","TM7 G1 spp. HOT346/349/W85",NA,NA,NA,NA,NA,NA,NA
"494","Tannerellaceae","Tannerella","Tannerella forsythia HOT613/X56","Tannerella forsythia HOT613/X56",NA,NA,NA,NA,NA,NA,NA
"495","Spirochaetaceae","Treponema","Treponema denticola HOT584/040","Treponema denticola HOT584/040",NA,NA,NA,NA,NA,NA,NA
"496","Spirochaetaceae","Treponema","Treponema lecithinolyticum HOT653/ABO7","Treponema lecithinolyticum HOT653/ABO7",NA,NA,NA,NA,NA,NA,NA
"497","Spirochaetaceae","Treponema","Treponema maltophilum HOT664/001","Treponema maltophilum HOT664/001",NA,NA,NA,NA,NA,NA,NA
"498","Spirochaetaceae","Treponema","Treponema parvum HOT724/AC39","Treponema parvum HOT724/AC39",NA,NA,NA,NA,NA,NA,NA
"499","Spirochaetaceae","Treponema","Treponema sp. HOT257/AH45","Treponema sp. HOT257/AH45",NA,NA,NA,NA,NA,NA,NA
"500","Veillonellaceae","Veillonella [G1]","sp. HMT-148",NA,NA,NA,NA,NA,NA,NA,NA
"501","Veillonellaceae","Veillonella [G1]","sp. HMT-135",NA,NA,NA,NA,NA,NA,NA,NA
"502","Spirochaetaceae","Treponema","sp. HMT-242",NA,NA,NA,NA,NA,NA,NA,NA
"503","Spirochaetaceae","Treponema","Treponema spp. HOT237/242/F89","Treponema spp. HOT237/242/F89",NA,NA,NA,NA,NA,NA,NA
"504","Veillonellaceae","Veillonella [G1]","bacterium HMT-148",NA,NA,NA,NA,NA,NA,NA,NA
"505","Veillonellaceae","Veillonella [G1]","bacterium HMT-150",NA,NA,NA,NA,NA,NA,NA,NA
"506","Veillonellaceae","Veillonella [G1]","bacterium HMT-135","Veillonellaceae G1 spp. HOT129/135/148/W86",NA,NA,NA,NA,NA,NA,NA
"507","Campylobacteraceae","Campylobacter","rectus",NA,NA,NA,NA,NA,NA,NA,NA
"508","Veillonellaceae","Veillonella","Veillonellaceae G1 spp. HOT129/150/AF97","Veillonellaceae G1 spp. HOT129/150/AF97",NA,NA,NA,NA,NA,NA,NA
"509","Peptostreptococcaceae","Filifactor","alocis","Filifactor alocis",NA,NA,NA,NA,NA,NA,NA
"510","Peptostreptococcaceae","Parvimonas","micra",NA,NA,NA,NA,NA,NA,NA,NA
"511","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"512","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"513","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"514","Peptostreptococcaceae","Parvimonas","micra",NA,NA,NA,NA,NA,NA,NA,NA
"515","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"516","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"517","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"518","Peptostreptococcaceae","Parvimonas","micra",NA,NA,NA,NA,NA,NA,NA,NA
"519","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"520","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"521","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"522","Peptostreptococcaceae","Parvimonas","Parvimonas micra",NA,NA,NA,NA,NA,NA,NA,NA
"523","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"524","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"525","Alcaligenaceae","Achromobacter","xylosoxidans","Achromobacter xylosoxidans",NA,NA,NA,NA,NA,NA,NA
"526","Moraxellaceae","Acinetobacter","baumannii","Acinetobacter baumannii",NA,NA,NA,NA,NA,NA,NA
"527","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 448","Actinomyces sp. oral taxon 448",NA,NA,NA,NA,NA,NA,NA
"528","Alcaligenaceae","Bordetella","pertussis","Bordetella pertussis",NA,NA,NA,NA,NA,NA,NA
"529","Bradyrhizobiaceae","Bradyrhizobium","elkanii","Bradyrhizobium elkanii",NA,NA,NA,NA,NA,NA,NA
"530","Burkholderiaceae","Burkholderia","cepacia","Burkholderia cepacia",NA,NA,NA,NA,NA,NA,NA
"531","Comamonadaceae","Comamonas","testosteroni","Comamonas testosteroni",NA,NA,NA,NA,NA,NA,NA
"532","Enterococcaceae","Enterococcus","italicus","Enterococcus italicus",NA,NA,NA,NA,NA,NA,NA
"533","Enterococcaceae","Enterococcus","saccharolyticus","Enterococcus saccharolyticus",NA,NA,NA,NA,NA,NA,NA
"534","Enterobacteriaceae","Escherichia","coli","Escherichia coli",NA,NA,NA,NA,NA,NA,NA
"535","Eubacteriaceae","Eubacterium","saphenum",NA,NA,NA,NA,NA,NA,NA,NA
"536","Lactococcaceae","Lactococcus","lactis","Lactococcus lactis",NA,NA,NA,NA,NA,NA,NA
"537","Neisseriaceae","Neisseria","lactamica","Neisseria lactamica",NA,NA,NA,NA,NA,NA,NA
"538","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"539","Pseudomonadaceae","Pseudomonas","fluorescens","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,NA
"540","Pseudomonadaceae","Pseudomonas","stutzeri","Pseudomonas stutzeri",NA,NA,NA,NA,NA,NA,NA
"541","Burkholderiaceae","Ralstonia","pickettii","Ralstonia pickettii",NA,NA,NA,NA,NA,NA,NA
"542","Bifidobacteriaceae","Scardovia","wiggsiae","Scardovia wiggsiae",NA,NA,NA,NA,NA,NA,NA
"543","Streptococcaceae","Streptococcus","anginosus","Streptococcus anginosus",NA,NA,NA,NA,NA,NA,NA
"544","Streptococcaceae","Streptococcus","mutans","Streptococcus mutans",NA,NA,NA,NA,NA,NA,NA
"545","Streptococcaceae","Streptococcus","parasanguinis","Streptococcus parasanguinis",NA,NA,NA,NA,NA,NA,NA
"546","Synergistaceae","Synergistetes","bacterium","Synergistetes bacterium",NA,NA,NA,NA,NA,NA,NA
"547","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"548","Treponemataceae","Treponema","Treponema denticola","Treponema denticola",NA,NA,NA,NA,NA,NA,NA
"549","Unclassified","Bacteroidetes [G-1]","Bacteroidetes [G-1] sp. OT 272","Bacteroidetes [G-1] sp. OT 272",NA,NA,NA,NA,NA,NA,NA
"550","Unclassified","Bacteroidetes [G-3]","Bacteroidetes [G-3] sp. OT 280","Bacteroidetes [G-3] sp. OT 280",NA,NA,NA,NA,NA,NA,NA
"551","Unclassified","Bacteroidetes [G-6]","Bacteroidetes [G-6] sp. OT 516","Bacteroidetes [G-6] sp. OT 516",NA,NA,NA,NA,NA,NA,NA
"552","Unclassified","Chloroflexi [G-1]","Chloroflexi [G-1] sp. OT 439","Chloroflexi [G-1] sp. OT 439",NA,NA,NA,NA,NA,NA,NA
"553","Desulfobulbaceae","Desulfobulbus","Desulfobulbus sp. OT 041","Desulfobulbus sp. OT 041",NA,NA,NA,NA,NA,NA,NA
"554","Lachnospiraceae","Eubacterium [11][G-6]","Eubacterium [11][G-6] minutum OT 673","Eubacterium [11][G-6] minutum OT 673",NA,NA,NA,NA,NA,NA,NA
"555","Lachnospiraceae","Eubacterium [11][G-6]","Eubacterium [11][G-6] nodatum OT 694","Eubacterium [11][G-6] nodatum OT 694",NA,NA,NA,NA,NA,NA,NA
"556","Lachnospiraceae","Eubacterium [XI][G-3]","Eubacterium [XI][G-3] brachy OT 557","Eubacterium [XI][G-3] brachy OT 557",NA,NA,NA,NA,NA,NA,NA
"557","Lachnospiraceae","Eubacterium [XI][G-5]","Eubacterium [XI][G-5] saphenum OT 759","Eubacterium [XI][G-5] saphenum OT 759",NA,NA,NA,NA,NA,NA,NA
"558","Peptostreptococcaceae","Filifactor","Filifactor alocis OT 539","Filifactor alocis OT 539",NA,NA,NA,NA,NA,NA,NA
"559","Johnsonellaceae","Johnsonella","Johnsonella sp. OT 166","Johnsonella sp. OT 166",NA,NA,NA,NA,NA,NA,NA
"560","Lachnospiraceae","Lachnospiraceae [G-4]","Lachnospiraceae [G-4] sp. OT 373","Lachnospiraceae [G-4] sp. OT 373",NA,NA,NA,NA,NA,NA,NA
"561","Lachnospiraceae","Lachnospiraceae [G-8]","Lachnospiraceae [G-8] sp. OT 500","Lachnospiraceae [G-8] sp. OT 500",NA,NA,NA,NA,NA,NA,NA
"562","Eubacteriaceae","Mogibacterium","Mogibacterium timidum OT 042","Mogibacterium timidum OT 042",NA,NA,NA,NA,NA,NA,NA
"563","Mycoplasmataceae","Mycoplasma","Mycoplasma faucium OT 606","Mycoplasma faucium OT 606",NA,NA,NA,NA,NA,NA,NA
"564","Peptostreptococcaceae","Parvimonas","Parvimonas micra OT 111","Parvimonas micra OT 111",NA,NA,NA,NA,NA,NA,NA
"565","Peptostreptococcaceae","Peptostreptococcaceae [X1]","Peptostreptococcaceae [X1] [G-2] sp. OT 091","Peptostreptococcaceae [X1] [G-2] sp. OT 091",NA,NA,NA,NA,NA,NA,NA
"566","Peptostreptococcaceae","Peptostreptococcaceae [XIII]","Peptostreptococcaceae [XIII][G-1] sp. OT 113","Peptostreptococcaceae [XIII][G-1] sp. OT 113",NA,NA,NA,NA,NA,NA,NA
"567","Peptostreptococcaceae","Peptostreptococcaceae [XI]","Peptostreptococcaceae [XI][G-4] sp. OT 369","Peptostreptococcaceae [XI][G-4] sp. OT 369",NA,NA,NA,NA,NA,NA,NA
"568","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus stomatis OT 112","Peptostreptococcus stomatis OT 112",NA,NA,NA,NA,NA,NA,NA
"569","Porphyromonadaceae","Porphyromonas","Porphyromonas endodontalis OT 273","Porphyromonas endodontalis OT 273",NA,NA,NA,NA,NA,NA,NA
"570","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis OT 619","Porphyromonas gingivalis OT 619",NA,NA,NA,NA,NA,NA,NA
"571","Eubacteriaceae","Pseudoramibacter","Pseudoramibacter alactolyticus OT 538","Pseudoramibacter alactolyticus OT 538",NA,NA,NA,NA,NA,NA,NA
"572","Veillonellaceae","Selenomonas","Selenomonas sputigena OT 151","Selenomonas sputigena OT 151",NA,NA,NA,NA,NA,NA,NA
"573","Streptococcaceae","Streptococcus","Streptococcus constellatus OT 576","Streptococcus constellatus OT 576",NA,NA,NA,NA,NA,NA,NA
"574","Streptococcaceae","Streptococcus","Streptococcus sp. OT 071","Streptococcus sp. OT 071",NA,NA,NA,NA,NA,NA,NA
"575","Synergistaceae","Synergistetes [G-3]","Synergistetes [G-3] sp. OT 360","Synergistetes [G-3] sp. OT 360",NA,NA,NA,NA,NA,NA,NA
"576","Synergistaceae","Synergistetes [G-3]","Synergistetes [G-3] sp. OT 362","Synergistetes [G-3] sp. OT 362",NA,NA,NA,NA,NA,NA,NA
"577","Synergistaceae","Synergistetes [G-3]","Synergistetes [G-3] sp. OT 363","Synergistetes [G-3] sp. OT 363",NA,NA,NA,NA,NA,NA,NA
"578","Synergistaceae","Synergistetes [G-3]","Synergistetes [G-3] sp. OT 361","Synergistetes [G-3] sp. OT 361",NA,NA,NA,NA,NA,NA,NA
"579","Unclassified","TM7 [G-1]","TM7 [G-1] sp. OT 346","TM7 [G-1] sp. OT 346",NA,NA,NA,NA,NA,NA,NA
"580","Unclassified","TM7 [G-5]","TM7 [G-5] sp. OT 356","TM7 [G-5] sp. OT 356",NA,NA,NA,NA,NA,NA,NA
"581","Unclassified","TMZ [G-1]","TMZ [G-1] sp. OT 349","TMZ [G-1] sp. OT 349",NA,NA,NA,NA,NA,NA,NA
"582","Tannerellaceae","Tannerella","Tannerella forsythia OT 613","Tannerella forsythia OT 613",NA,NA,NA,NA,NA,NA,NA
"583","Spirochaetaceae","Treponema","Treponema denticola OT 584","Treponema denticola OT 584",NA,NA,NA,NA,NA,NA,NA
"584","Spirochaetaceae","Treponema","Treponema lecithinolyticum OT 653","Treponema lecithinolyticum OT 653",NA,NA,NA,NA,NA,NA,NA
"585","Spirochaetaceae","Treponema","Treponema maltophilum OT 664","Treponema maltophilum OT 664",NA,NA,NA,NA,NA,NA,NA
"586","Spirochaetaceae","Treponema","Treponema socranskii OT 769","Treponema socranskii OT 769",NA,NA,NA,NA,NA,NA,NA
"587","Spirochaetaceae","Treponema","Treponema medium OT 667","Treponema medium OT 667",NA,NA,NA,NA,NA,NA,NA
"588","Spirochaetaceae","Treponema","Treponema sp. OT 257","Treponema sp. OT 257",NA,NA,NA,NA,NA,NA,NA
"589","Spirochaetaceae","Treponema","Treponema sp. OT 237","Treponema sp. OT 237",NA,NA,NA,NA,NA,NA,NA
"590","Veillonellaceae","Veillonellaceae [G-1]","Veillonellaceae [G-1] sp. OT 145","Veillonellaceae [G-1] sp. OT 145",NA,NA,NA,NA,NA,NA,NA
"591","Unclassified","Unclassified","Unclassified Clostridiales","Unclassified Clostridiales",NA,NA,NA,NA,NA,NA,NA
"592","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus OT 565","Enterobacter cancerogenus OT 565",NA,NA,NA,NA,NA,NA,NA
"593","Streptococcaceae","Streptococcus","Streptococcus spp.","Streptococcus spp.",NA,NA,NA,NA,NA,NA,NA
"594","Veillonellaceae","Veillonella","Veillonella spp.","Veillonella spp.",NA,NA,NA,NA,NA,NA,NA
"595","Unclassified","TM7 [G-1]","TM7 [G-1] sp. OT 346",NA,NA,NA,NA,NA,NA,NA,NA
"596","Unclassified","Bacteroidetes [G-1]","Bacteroidetes [G-1] sp. OT 272",NA,NA,NA,NA,NA,NA,NA,NA
"597","Unclassified","Chloroflexi [G-1]","Chloroflexi [G-1] sp. OT 439",NA,NA,NA,NA,NA,NA,NA,NA
"598","Desulfobulbaceae","Desulfobulbus","Desulfobulbus sp. OT 041",NA,NA,NA,NA,NA,NA,NA,NA
